owner,player,position,drafted_2026_round,round_lost_if_kept_2027,note
Aumr11,Caleb Williams,QB,10,8,
Aumr11,Cam Little,K,14,12,
Aumr11,Christian McCaffrey,RB,1,1,
Aumr11,Denzel Boston,WR,18,16,
Aumr11,Derrick Henry,RB,3,1,
Aumr11,Garrett Wilson,WR,4,2,
Aumr11,Houston Texans,DEF,12,10,
Aumr11,Hunter Henry,TE,13,11,
Aumr11,Jacory Croskey-Merritt,RB,16,14,
Aumr11,Jaxson Dart,QB,16,14,no fresh-draft record — used pre-rule/last-round fallback
Aumr11,Jordan Mason,RB,9,7,
Aumr11,Kayshon Boutte,WR,15,13,
Aumr11,Kenneth Walker,RB,2,1,
Aumr11,Kyle Pitts,TE,8,6,
Aumr11,Makai Lemon,WR,11,9,
Aumr11,Rashee Rice,WR,7,5,
Aumr11,Terry McLaurin,WR,5,3,
Aumr11,Tetairoa McMillan,WR,4,2,
ChocoLitMilk,Aaron Jones,RB,10,8,
ChocoLitMilk,Amon-Ra St. Brown,WR,1,1,
ChocoLitMilk,Ashton Jeanty,RB,2,1,
ChocoLitMilk,Courtland Sutton,WR,6,4,
ChocoLitMilk,Dalton Kincaid,TE,8,6,
ChocoLitMilk,Dylan Sampson,RB,17,15,
ChocoLitMilk,Isaiah Likely,TE,12,10,
ChocoLitMilk,J.K. Dobbins,RB,9,7,
ChocoLitMilk,Ja'Kobi Lane,WR,13,11,
ChocoLitMilk,Jalen Hurts,QB,8,6,
ChocoLitMilk,Jalen Nailor,WR,18,16,
ChocoLitMilk,Jayden Daniels,QB,14,12,
ChocoLitMilk,Jeremiyah Love,RB,3,1,
ChocoLitMilk,Los Angeles Rams,DEF,16,14,no fresh-draft record — used pre-rule/last-round fallback
ChocoLitMilk,Mike Evans,WR,6,4,
ChocoLitMilk,Travis Etienne,RB,7,5,
ChocoLitMilk,Trey Smack,K,15,13,
ChocoLitMilk,Xavier Worthy,WR,11,9,
HarryUncle,D'Andre Swift,RB,3,1,
HarryUncle,DJ Moore,WR,4,2,
HarryUncle,Jake Bates,K,15,13,
HarryUncle,Jared Goff,QB,14,12,
HarryUncle,Jonah Coleman,RB,12,10,
HarryUncle,Justin Jefferson,WR,1,1,
HarryUncle,Juwan Johnson,TE,16,14,
HarryUncle,Kenny Gainwell,RB,9,7,
HarryUncle,Kyler Murray,QB,18,16,
HarryUncle,Los Angeles Chargers,DEF,17,15,
HarryUncle,Marvin Harrison,WR,6,4,
HarryUncle,Nico Collins,WR,2,1,
HarryUncle,Quentin Johnston,WR,10,8,
HarryUncle,Quinshon Judkins,RB,8,6,
HarryUncle,Rhamondre Stevenson,RB,5,3,
HarryUncle,Romeo Doubs,WR,11,9,
HarryUncle,Tyjae Spears,RB,13,11,
HarryUncle,Tyler Warren,TE,7,5,
Harsh352,Alvin Kamara,RB,16,14,
Harsh352,Brenton Strange,TE,17,15,
Harsh352,Brock Bowers,TE,4,2,
Harsh352,Brock Purdy,QB,10,8,
Harsh352,CeeDee Lamb,WR,2,1,
Harsh352,DK Metcalf,WR,8,6,
Harsh352,David Montgomery,RB,3,1,
Harsh352,Detroit Lions,DEF,15,13,
Harsh352,Jalen Coker,WR,12,10,
Harsh352,Jayden Reed,WR,6,4,
Harsh352,Jonathan Taylor,RB,1,1,
Harsh352,Ka'imi Fairbairn,K,14,12,
Harsh352,Keenan Allen,WR,18,16,
Harsh352,Matthew Stafford,QB,13,11,
Harsh352,Parker Washington,WR,5,3,
Harsh352,Rachaad White,RB,11,9,
Harsh352,Travis Kelce,TE,9,7,
Harsh352,TreVeyon Henderson,RB,7,5,
ItsAki,Caleb Douglas,WR,15,13,
ItsAki,Chase Brown,RB,10,8,
ItsAki,Chase McLaughlin,K,waiver add (no 2026 draft pick),16,in-season waiver add — treated as round 18 for 2026
ItsAki,Dallas Goedert,TE,14,12,
ItsAki,Davante Adams,WR,5,3,
ItsAki,Emeka Egbuka,WR,7,5,
ItsAki,James Cook,RB,1,1,
ItsAki,Jonathon Brooks,RB,6,4,
ItsAki,Josh Jacobs,RB,9,7,
ItsAki,Justin Herbert,QB,11,9,
ItsAki,Keaton Mitchell,RB,13,11,
ItsAki,Kyren Williams,RB,3,1,
ItsAki,Luther Burden,WR,4,2,
ItsAki,Malik Nabers,WR,2,1,
ItsAki,Michael Wilson,WR,16,14,no fresh-draft record — used pre-rule/last-round fallback
ItsAki,Minnesota Vikings,DEF,17,15,
ItsAki,Rico Dowdle,RB,6,4,
ItsAki,Tank Bigsby,RB,12,10,
ItsAki,Tucker Kraft,TE,5,3,
MasterOftheGalaxy,Brian Robinson,RB,14,12,
MasterOftheGalaxy,Chris Godwin,WR,9,7,
MasterOftheGalaxy,Chris Olave,WR,6,4,
MasterOftheGalaxy,Christian Watson,WR,16,14,
MasterOftheGalaxy,Chuba Hubbard,RB,8,6,
MasterOftheGalaxy,De'Von Achane,RB,1,1,
MasterOftheGalaxy,Drake London,WR,2,1,
MasterOftheGalaxy,Evan McPherson,K,17,15,
MasterOftheGalaxy,Jakobi Meyers,WR,13,11,
MasterOftheGalaxy,Jaylen Warren,RB,7,5,
MasterOftheGalaxy,Jaylen Wright,RB,18,16,
MasterOftheGalaxy,Josh Downs,WR,11,9,
MasterOftheGalaxy,Lamar Jackson,QB,5,3,
MasterOftheGalaxy,Michael Pittman,WR,10,8,
MasterOftheGalaxy,Philadelphia Eagles,DEF,15,13,
MasterOftheGalaxy,Tee Higgins,WR,4,2,
MasterOftheGalaxy,Trey McBride,TE,3,1,
MasterOftheGalaxy,Tyrone Tracy,RB,12,10,
VirajPatel,Alec Pierce,WR,10,8,
VirajPatel,Baltimore Ravens,DEF,15,13,
VirajPatel,Breece Hall,RB,3,1,
VirajPatel,Bucky Irving,RB,13,11,no fresh-draft record — used pre-rule/last-round fallback
VirajPatel,Dontayvion Wicks,WR,waiver add (no 2026 draft pick),16,in-season waiver add — treated as round 18 for 2026
VirajPatel,Drake Maye,QB,7,5,
VirajPatel,Eddy Pineiro,K,18,16,
VirajPatel,Harold Fannin,TE,16,14,no fresh-draft record — used pre-rule/last-round fallback
